review_id,order_id,customer_id,restaurant_id,review_text,rating,review_timestamp
REV-000017,ORD-20260125-103198,CUST-10026,REST-SHJ-001,Absolutely amazing Aloo Tikki Chaat  Palak Paneer  Sweet Lassi  and Tandoori Roti! The Tandoori Roti was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2026-01-27T16:55:54.667137
REV-000018,ORD-20260128-487037,CUST-10015,REST-AUH-001,Hands down the best Palak Paneer I've ever had! Palak Paneer were all prepared beautifully. Fresh and flavorful!,5,2026-01-30T20:53:45.667137
REV-000019,ORD-20260131-286131,CUST-10129,REST-DXB-001,Hands down the best Gulab Jamun (2 pcs) I've ever had! Jeera Rice  Gulab Jamun (2 pcs)  Malai Kofta  and Lamb Rogan Josh were all prepared beautifully. Fresh and flavorful!,5,2026-02-05T11:38:55.667137
REV-000022,ORD-20260205-437636,CUST-10498,REST-SHJ-001,Absolutely horrible! Chicken Biryani arrived ice cold after 2 hour delay. Chicken Biryani was spoiled. Disgusting!,1,2026-02-06T15:23:24.667137
REV-000020,ORD-20260202-163934,CUST-10330,REST-SHJ-001,Perfect in every way! Chicken Seekh Kebab  Chole Bhature  and Masala Chai were all excellent. Chole Bhature stood out with its rich  authentic taste.,5,2026-02-07T20:28:52.667137
REV-000021,ORD-20260205-703392,CUST-10230,REST-AUH-001,Good quality food. Aloo Tikki Chaat  Chole Bhature  Malai Kofta  and Fish Curry were nicely done. Fish Curry could have been slightly spicier but still good!,4,2026-02-11T10:04:02.667137
REV-000024,ORD-20260211-470661,CUST-10485,REST-DXB-002,Average experience. Jeera Rice  Chicken Biryani  Gajar Halwa  and Masala Chai were fine but Masala Chai was a bit bland. Room for improvement.,3,2026-02-12T20:55:29.667137
REV-000025,ORD-20260212-880166,CUST-10026,REST-DXB-002,Best Indian food in UAE! Gajar Halwa were incredible. Gajar Halwa had the perfect balance of spices. Five stars!,5,2026-02-14T16:21:49.667137
REV-000023,ORD-20260210-485771,CUST-10467,REST-AUH-002,Disaster! Gajar Halwa  Chole Bhature  and Palak Paneer were all stale. Palak Paneer had a weird smell. Completely unacceptable!,1,2026-02-17T10:53:58.667137
REV-000026,ORD-20260215-537319,CUST-10491,REST-SHJ-001,Worst food ever! Rasmalai (2 pcs) were all wrong. Rasmalai (2 pcs) made me sick. Never ordering again!,1,2026-02-22T20:52:32.667137
REV-000028,ORD-20260228-823687,CUST-10091,REST-AUH-002,Unsatisfactory. Tandoori Roti  Fresh Lime Soda  Lamb Rogan Josh  and Chole Bhature were not fresh. Tandoori Roti tasted reheated. Won't order again.,2,2026-03-02T15:08:21.667137
REV-000029,ORD-20260301-281673,CUST-10160,REST-AUH-001,Really good Gulab Jamun (2 pcs)  Chicken Seekh Kebab  Chicken Biryani  Butter Naan  and Jeera Rice! The Chicken Biryani was delicious. Slight delay in delivery but food quality made up for it.,4,2026-03-02T20:38:46.667137
REV-000027,ORD-20260227-212962,CUST-10391,REST-SHJ-001,Poor experience. Jeera Rice were disappointing. Jeera Rice was burnt on the edges. Very unhappy.,2,2026-03-05T20:36:25.667137
REV-000030,ORD-20260304-411418,CUST-10285,REST-SHJ-001,Wow! Just wow! Butter Naan  Chicken Seekh Kebab  Sweet Lassi  Jeera Rice  and Chicken 65 were all fantastic. Chicken Seekh Kebab was particularly memorable. Can't wait to order again!,5,2026-03-07T15:56:49.667137
REV-000034,ORD-20260309-573042,CUST-10314,REST-AUH-002,Pleasant meal! Aloo Tikki Chaat  Chole Bhature  and Chicken Seekh Kebab arrived warm. Chole Bhature was tasty though not exceptional. Would order again.,4,2026-03-11T20:50:06.667137
REV-000031,ORD-20260305-702485,CUST-10238,REST-AUH-002,Hands down the best Vegetable Biryani I've ever had! Vegetable Biryani and Lamb Rogan Josh were all prepared beautifully. Fresh and flavorful!,5,2026-03-12T14:43:27.667137
REV-000032,ORD-20260307-371175,CUST-10496,REST-DXB-002,Enjoyed the Gajar Halwa  Naan  Vegetable Biryani  and Masala Chai! Vegetable Biryani was very good. Portion sizes were generous. Recommend!,4,2026-03-13T16:28:03.667137
REV-000033,ORD-20260309-514875,CUST-10181,REST-AUH-001,Not bad  not great. Jeera Rice  Rasmalai (2 pcs)  and Sweet Lassi were edible. Jeera Rice needed more seasoning.,3,2026-03-16T17:29:23.667137
REV-000038,ORD-20260316-183315,CUST-10035,REST-SHJ-001,Enjoyed the Chicken Seekh Kebab and Fresh Lime Soda! Chicken Seekh Kebab was very good. Portion sizes were generous. Recommend!,4,2026-03-17T21:04:21.667137
REV-000036,ORD-20260315-550301,CUST-10471,REST-DXB-002,Disappointed with Vegetable Biryani  Tandoori Roti  Aloo Tikki Chaat  Dal Makhani  and Samosa (2 pcs). Dal Makhani was cold when it arrived. Not worth the money.,2,2026-03-18T10:28:42.667137
REV-000035,ORD-20260311-516752,CUST-10162,REST-DXB-002,Enjoyed the Butter Chicken  Malai Kofta  and Aloo Tikki Chaat! Malai Kofta was very good. Portion sizes were generous. Recommend!,4,2026-03-18T14:11:52.667137
REV-000040,ORD-20260319-593757,CUST-10431,REST-AUH-001,Really good Paneer Butter Masala  Masala Chai  Garlic Naan  Gajar Halwa  and Rasmalai (2 pcs)! The Rasmalai (2 pcs) was delicious. Slight delay in delivery but food quality made up for it.,4,2026-03-21T22:47:37.667137
REV-000037,ORD-20260315-431595,CUST-10217,REST-AUH-001,Expected better. Palak Paneer were subpar. Palak Paneer was too oily and greasy. Stomach upset followed.,2,2026-03-22T10:40:00.667137
REV-000039,ORD-20260319-611966,CUST-10202,REST-DXB-001,Enjoyed the Chicken Tikka Masala  Chicken Biryani  Dal Makhani  and Aloo Tikki Chaat! Chicken Biryani was very good. Portion sizes were generous. Recommend!,4,2026-03-26T21:50:53.667137
REV-000041,ORD-20260325-166300,CUST-10482,REST-DXB-002,Perfect in every way! Fresh Lime Soda  Samosa (2 pcs)  Gajar Halwa  Gulab Jamun (2 pcs)  and Chicken Tikka Masala were all excellent. Chicken Tikka Masala stood out with its rich  authentic taste.,5,2026-03-27T22:23:34.667137
REV-000043,ORD-20260329-423187,CUST-10023,REST-DXB-002,Great food overall. Gajar Halwa were tasty  especially the Gajar Halwa. Would order again!,4,2026-04-01T12:55:31.667137
REV-000042,ORD-20260326-108727,CUST-10323,REST-DXB-001,Not bad  not great. Dal Makhani  Vegetable Biryani  and Paneer Tikka were edible. Vegetable Biryani needed more seasoning.,3,2026-04-02T18:00:53.667137
REV-000044,ORD-20260330-537629,CUST-10144,REST-DXB-001,Absolutely amazing Chole Bhature  Aloo Tikki Chaat  Palak Paneer  Kulfi  and Paneer Tikka! The Chole Bhature was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2026-04-04T12:48:19.667137
REV-000045,ORD-20260403-384134,CUST-10119,REST-AUH-002,Below expectations. Masala Chai  Chicken Tikka Masala  Paneer Tikka  and Samosa (2 pcs) were underwhelming. Paneer Tikka was overcooked and dry.,2,2026-04-09T18:51:55.667137
REV-000046,ORD-20260409-132997,CUST-10272,REST-SHJ-001,Best Indian food in UAE! Chicken Tikka Masala  Chole Bhature  Kulfi  and Garlic Naan were incredible. Chole Bhature had the perfect balance of spices. Five stars!,5,2026-04-11T14:46:29.667137
REV-000047,ORD-20260412-843165,CUST-10395,REST-DXB-001,Outstanding experience! The Fish Curry  Butter Naan  Jeera Rice  Chole Bhature  and Dal Makhani exceeded all expectations. Dal Makhani was the star of the meal. Will definitely order again!,5,2026-04-15T14:53:03.667137
REV-000048,ORD-20260424-665293,CUST-10197,REST-DXB-001,Not bad  not great. Chole Bhature were edible. Chole Bhature needed more seasoning.,3,2026-04-26T20:58:20.667137
REV-000050,ORD-20260428-259035,CUST-10040,REST-AUH-002,Wow! Just wow! Masala Chai were all fantastic. Masala Chai was particularly memorable. Can't wait to order again!,5,2026-05-01T16:33:58.667137
REV-000049,ORD-20260426-460129,CUST-10110,REST-DXB-001,Great food overall. Samosa (2 pcs) and Malai Kofta were tasty  especially the Samosa (2 pcs). Would order again!,4,2026-05-03T21:58:07.667137
REV-000051,ORD-20260501-461549,CUST-10434,REST-DXB-002,Mediocre. Palak Paneer were fine but forgettable. Palak Paneer didn't stand out.,3,2026-05-05T13:26:07.667137
REV-000053,ORD-20260505-347878,CUST-10409,REST-DXB-001,Incredible meal! Chicken Biryani  Masala Chai  Chicken 65  and Chicken Seekh Kebab arrived hot and fresh. The Chicken Biryani was absolutely divine. Highly satisfied!,5,2026-05-06T16:37:43.667137
REV-000055,ORD-20260506-220591,CUST-10355,REST-DXB-002,Wow! Just wow! Sweet Lassi  Mango Lassi  Chicken Tikka Masala  and Vegetable Biryani were all fantastic. Chicken Tikka Masala was particularly memorable. Can't wait to order again!,5,2026-05-08T15:00:22.667137
REV-000052,ORD-20260504-555162,CUST-10244,REST-AUH-002,Perfect in every way! Chicken Biryani and Chicken Seekh Kebab were all excellent. Chicken Seekh Kebab stood out with its rich  authentic taste.,5,2026-05-09T11:09:28.667137
REV-000057,ORD-20260508-752331,CUST-10030,REST-AUH-002,Very satisfied! Chicken Seekh Kebab and Lamb Rogan Josh were fresh and flavorful. Lamb Rogan Josh was the standout dish.,4,2026-05-10T12:00:28.667137
REV-000056,ORD-20260507-812605,CUST-10007,REST-DXB-002,Decent food but nothing special. Fresh Lime Soda  Naan  Chicken 65  Paneer Tikka  and Chicken Biryani were okay. Naan lacked the punch I expected.,3,2026-05-10T18:03:35.667137
REV-000059,ORD-20260510-788973,CUST-10408,REST-DXB-001,Absolutely amazing Samosa (2 pcs)  Fresh Lime Soda  Naan  and Masala Chai! The Masala Chai was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2026-05-11T14:43:01.667137
REV-000054,ORD-20260506-931711,CUST-10252,REST-SHJ-001,Great food overall. Samosa (2 pcs)  Butter Chicken  Lamb Rogan Josh  Dal Makhani  and Gajar Halwa were tasty  especially the Gajar Halwa. Would order again!,4,2026-05-12T12:37:23.667137
REV-000058,ORD-20260509-253676,CUST-10033,REST-AUH-002,Enjoyed the Chicken Tikka Masala  Jeera Rice  and Paneer Tikka! Chicken Tikka Masala was very good. Portion sizes were generous. Recommend!,4,2026-05-12T22:20:08.667137
REV-000060,ORD-20260512-147966,CUST-10450,REST-AUH-002,Solid experience. Garlic Naan were well-prepared. Garlic Naan had great flavor. Minor issues with packaging.,4,2026-05-13T10:33:41.667137
REV-000061,ORD-20260512-512488,CUST-10436,REST-AUH-002,Very satisfied! Paneer Tikka  Gulab Jamun (2 pcs)  Garlic Naan  Rasmalai (2 pcs)  and Gajar Halwa were fresh and flavorful. Gulab Jamun (2 pcs) was the standout dish.,4,2026-05-15T22:02:58.667137
REV-000062,ORD-20260513-193342,CUST-10173,REST-SHJ-001,Outstanding experience! The Mango Lassi  Fish Curry  Chicken Seekh Kebab  and Aloo Tikki Chaat exceeded all expectations. Aloo Tikki Chaat was the star of the meal. Will definitely order again!,5,2026-05-17T13:01:30.667137
REV-000063,ORD-20260514-959437,CUST-10064,REST-SHJ-001,Incredible meal! Gajar Halwa  Kulfi  Samosa (2 pcs)  and Sweet Lassi arrived hot and fresh. The Samosa (2 pcs) was absolutely divine. Highly satisfied!,5,2026-05-18T11:13:16.667137
REV-000064,ORD-20260518-344176,CUST-10442,REST-SHJ-001,Exceptional quality! Ordered Chicken Tikka Masala and Palak Paneer and everything was delicious. The Palak Paneer melted in my mouth. Perfect!,5,2026-05-20T22:56:09.667137
REV-000066,ORD-20260521-830559,CUST-10299,REST-DXB-001,Enjoyed the Gajar Halwa  Chicken Biryani  Kulfi  Aloo Tikki Chaat  and Tandoori Roti! Tandoori Roti was very good. Portion sizes were generous. Recommend!,4,2026-05-22T13:38:19.667137
REV-000065,ORD-20260521-553062,CUST-10201,REST-SHJ-001,It was okay. Chicken Seekh Kebab and Rasmalai (2 pcs) arrived lukewarm. Chicken Seekh Kebab tasted fine but could be better.,3,2026-05-26T11:36:30.667137
REV-000067,ORD-20260524-220187,CUST-10177,REST-DXB-001,Wow! Just wow! Palak Paneer  Samosa (2 pcs)  Aloo Tikki Chaat  and Chole Bhature were all fantastic. Samosa (2 pcs) was particularly memorable. Can't wait to order again!,5,2026-05-31T15:11:44.667137
REV-000068,ORD-20260530-541616,CUST-10439,REST-DXB-002,Pleasant meal! Butter Naan  Chicken Tikka Masala  Rasmalai (2 pcs)  Fresh Lime Soda  and Chicken Biryani arrived warm. Fresh Lime Soda was tasty though not exceptional. Would order again.,4,2026-06-03T20:56:05.667137
REV-000070,ORD-20260601-432152,CUST-10167,REST-AUH-001,Exceptional quality! Ordered Fish Curry  Palak Paneer  and Paneer Tikka and everything was delicious. The Paneer Tikka melted in my mouth. Perfect!,5,2026-06-04T13:25:50.667137
REV-000069,ORD-20260531-861146,CUST-10360,REST-DXB-002,Enjoyed the Chicken Tikka Masala  Mango Lassi  Malai Kofta  Garlic Naan  and Vegetable Biryani! Malai Kofta was very good. Portion sizes were generous. Recommend!,4,2026-06-07T22:00:14.667137
REV-000071,ORD-20260603-998564,CUST-10260,REST-SHJ-001,Mixed feelings. Dal Makhani  Samosa (2 pcs)  and Fresh Lime Soda were acceptable. Samosa (2 pcs) was decent but portion was small for the price.,3,2026-06-09T14:16:23.667137
REV-000072,ORD-20260604-449402,CUST-10388,REST-AUH-001,Enjoyed the Fish Curry  Chole Bhature  and Chicken Tikka Masala! Chicken Tikka Masala was very good. Portion sizes were generous. Recommend!,4,2026-06-10T14:36:11.667137
REV-000073,ORD-20260604-654056,CUST-10180,REST-SHJ-001,Pleasant meal! Lamb Rogan Josh  Jeera Rice  Kulfi  Chicken Biryani  and Gulab Jamun (2 pcs) arrived warm. Chicken Biryani was tasty though not exceptional. Would order again.,4,2026-06-10T16:16:07.667137
REV-000076,ORD-20260607-387379,CUST-10401,REST-DXB-001,Really good Garlic Naan and Fish Curry! The Garlic Naan was delicious. Slight delay in delivery but food quality made up for it.,4,2026-06-11T15:33:36.667137
REV-000075,ORD-20260605-438442,CUST-10272,REST-AUH-001,Perfect in every way! Paneer Tikka  Chole Bhature  and Chicken Tikka Masala were all excellent. Chicken Tikka Masala stood out with its rich  authentic taste.,5,2026-06-11T17:46:27.667137
REV-000074,ORD-20260605-909897,CUST-10252,REST-AUH-001,Wow! Just wow! Butter Chicken  Chicken Biryani  Tandoori Roti  Garlic Naan  and Gulab Jamun (2 pcs) were all fantastic. Gulab Jamun (2 pcs) was particularly memorable. Can't wait to order again!,5,2026-06-12T10:05:52.667137
REV-000077,ORD-20260607-195060,CUST-10260,REST-AUH-001,Pleasant meal! Butter Naan arrived warm. Butter Naan was tasty though not exceptional. Would order again.,4,2026-06-12T20:16:30.667137
REV-000078,ORD-20260609-139460,CUST-10064,REST-AUH-001,Really good Palak Paneer! The Palak Paneer was delicious. Slight delay in delivery but food quality made up for it.,4,2026-06-14T10:40:11.667137
REV-000079,ORD-20260610-286086,CUST-10324,REST-DXB-002,Absolutely amazing Mango Lassi and Vegetable Biryani! The Mango Lassi was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2026-06-17T15:34:20.667137
REV-000080,ORD-20260610-809457,CUST-10063,REST-AUH-002,Very satisfied! Paneer Butter Masala  Dal Makhani  Garlic Naan  and Palak Paneer were fresh and flavorful. Paneer Butter Masala was the standout dish.,4,2026-06-17T19:26:57.667137
REV-000083,ORD-20260616-300496,CUST-10085,REST-AUH-001,Best Indian food in UAE! Mango Lassi  Aloo Tikki Chaat  Fish Curry  and Lamb Rogan Josh were incredible. Fish Curry had the perfect balance of spices. Five stars!,5,2026-06-17T20:19:01.667137
REV-000082,ORD-20260615-245187,CUST-10169,REST-DXB-001,Perfect in every way! Palak Paneer  Malai Kofta  and Kulfi were all excellent. Palak Paneer stood out with its rich  authentic taste.,5,2026-06-18T15:58:06.667137
REV-000081,ORD-20260612-258212,CUST-10014,REST-DXB-001,Decent food but nothing special. Vegetable Biryani were okay. Vegetable Biryani lacked the punch I expected.,3,2026-06-18T17:16:38.667137
REV-000084,ORD-20260618-686795,CUST-10144,REST-DXB-002,Pleasant meal! Chicken Tikka Masala  Kulfi  and Rasmalai (2 pcs) arrived warm. Chicken Tikka Masala was tasty though not exceptional. Would order again.,4,2026-06-21T21:52:28.667137
REV-000086,ORD-20260622-299761,CUST-10461,REST-SHJ-001,Not bad  not great. Paneer Tikka and Lamb Rogan Josh were edible. Paneer Tikka needed more seasoning.,3,2026-06-23T18:46:20.667137
REV-000085,ORD-20260619-783579,CUST-10348,REST-DXB-001,Great food overall. Gajar Halwa  Butter Naan  Mango Lassi  Chicken Seekh Kebab  and Garlic Naan were tasty  especially the Mango Lassi. Would order again!,4,2026-06-26T12:35:31.667137
REV-000087,ORD-20260626-646887,CUST-10313,REST-DXB-001,Average experience. Aloo Tikki Chaat  Kulfi  Gulab Jamun (2 pcs)  and Gajar Halwa were fine but Gajar Halwa was a bit bland. Room for improvement.,3,2026-06-28T13:44:34.667137
REV-000088,ORD-20260627-240264,CUST-10154,REST-AUH-002,Exceptional quality! Ordered Gajar Halwa  Aloo Tikki Chaat  and Naan and everything was delicious. The Gajar Halwa melted in my mouth. Perfect!,5,2026-06-28T17:49:18.667137
REV-000089,ORD-20260629-281640,CUST-10295,REST-DXB-001,Incredible meal! Lamb Rogan Josh  Fresh Lime Soda  Paneer Butter Masala  and Paneer Tikka arrived hot and fresh. The Paneer Butter Masala was absolutely divine. Highly satisfied!,5,2026-07-02T13:13:05.667137
